iter	Passed	Remaining
301	3025	6992
302	3033	6976
303	3040	6961
304	3047	6945
305	3056	6933
306	3065	6919
307	3073	6904
308	3080	6889
309	3088	6875
310	3096	6861
311	3104	6845
312	3111	6829
313	3119	6815
314	3128	6802
315	3135	6786
316	3141	6768
317	3149	6754
318	3163	6752
319	3171	6739
320	3179	6724
321	3187	6711
322	3195	6697
323	3203	6683
324	3210	6667
325	3218	6655
326	3226	6641
327	3234	6627
328	3242	6612
329	3252	6603
330	3261	6592
331	3269	6578
332	3277	6564
333	3285	6551
334	3294	6539
335	3302	6526
336	3310	6512
337	3319	6501
338	3328	6490
339	3337	6477
340	3346	6467
341	3355	6456
342	3363	6442
343	3371	6429
344	3377	6413
345	3388	6404
346	3395	6389
347	3402	6374
348	3409	6360
349	3420	6351
350	3430	6342
351	3437	6327
352	3445	6315
353	3453	6302
354	3461	6289
355	3470	6277
356	3478	6265
357	3486	6253
358	3493	6238
359	3500	6222
360	3507	6209
361	3516	6197
362	3524	6184
363	3531	6170
364	3537	6154
365	3547	6144
366	3554	6131
367	3561	6117
368	3569	6103
369	3576	6090
370	3584	6076
371	3590	6062
372	3597	6047
373	3605	6035
374	3614	6024
375	3620	6009
376	3628	5996
377	3635	5981
378	3643	5969
379	3650	5956
380	3657	5941
381	3663	5926
382	3670	5912
383	3677	5899
384	3685	5887
385	3693	5874
386	3703	5866
387	3710	5851
388	3717	5838
389	3724	5825
390	3731	5812
391	3739	5800
392	3746	5786
393	3753	5772
394	3759	5758
395	3766	5744
396	3774	5732
397	3785	5725
398	3794	5714
399	3813	5719
400	3821	5708
401	3829	5697
402	3839	5687
403	3847	5676
404	3855	5664
405	3863	5651
406	3871	5641
407	3883	5634
408	3890	5621
409	3897	5608
410	3904	5595
411	3911	5582
412	3918	5569
413	3925	5556
414	3932	5543
415	3939	5531
416	3947	5519
417	3953	5505
418	3961	5493
419	3971	5484
420	3984	5479
421	3991	5466
422	3998	5454
423	4004	5440
424	4011	5427
425	4018	5414
426	4026	5402
427	4035	5392
428	4043	5381
429	4050	5369
430	4059	5359
431	4068	5348
432	4075	5337
433	4082	5324
434	4089	5311
435	4097	5300
436	4105	5289
437	4113	5277
438	4120	5266
439	4129	5256
440	4138	5245
441	4146	5234
442	4154	5223
443	4162	5212
444	4169	5200
445	4176	5188
446	4183	5175
447	4190	5163
448	4198	5151
449	4208	5144
450	4220	5137
451	4230	5129
452	4244	5125
453	4255	5117
454	4267	5111
455	4276	5101
456	4285	5091
457	4294	5082
458	4303	5072
459	4312	5062
460	4325	5056
461	4334	5046
462	4343	5037
463	4352	5027
464	4364	5021
465	4374	5012
466	4383	5002
467	4395	4996
468	4405	4987
469	4414	4978
470	4425	4970
471	4434	4960
472	4441	4948
473	4449	4937
474	4458	4927
475	4467	4917
476	4475	4907
477	4484	4897
478	4491	4884
479	4499	4873
480	4507	4863
481	4513	4851
482	4523	4842
483	4530	4830
484	4537	4818
485	4544	4806
486	4553	4796
487	4562	4786
488	4569	4774
489	4576	4763
490	4583	4751
491	4590	4740
492	4598	4729
493	4604	4716
494	4611	4704
495	4620	4695
496	4627	4683
497	4634	4671
498	4641	4660
499	4649	4649
500	4657	4638
501	4664	4626
502	4670	4615
503	4679	4604
504	4687	4594
505	4694	4582
506	4701	4571
507	4707	4559
508	4715	4548
509	4724	4539
510	4731	4527
511	4738	4516
512	4745	4505
513	4754	4495
514	4760	4483
515	4769	4473
516	4778	4464
517	4784	4452
518	4791	4440
519	4799	4430
520	4806	4418
521	4815	4409
522	4822	4398
523	4829	4386
524	4836	4375
525	4843	4364
526	4851	4354
527	4859	4344
528	4866	4332
529	4873	4321
530	4879	4310
531	4887	4299
532	4893	4287
533	4900	4276
534	4908	4266
535	4915	4255
536	4922	4243
537	4928	4232
538	4935	4221
539	4944	4211
540	4954	4203
541	4960	4191
542	4967	4181
543	4975	4170
544	4985	4162
545	4996	4154
546	5007	4146
547	5016	4137
548	5023	4127
549	5031	4116
550	5039	4106
551	5046	4095
552	5053	4084
553	5065	4077
554	5075	4069
555	5084	4059
556	5091	4049
557	5098	4038
558	5106	4028
559	5114	4018
560	5121	4007
561	5130	3998
562	5139	3989
563	5153	3983
564	5162	3974
565	5172	3966
566	5184	3958
567	5193	3950
568	5203	3941
569	5216	3935
570	5225	3925
571	5235	3917
572	5250	3912
573	5258	3902
574	5272	3896
575	5287	3892
576	5302	3887
577	5318	3883
578	5329	3874
579	5346	3871
580	5358	3864
581	5370	3857
582	5383	3850
583	5394	3842
584	5410	3838
585	5421	3830
586	5431	3821
587	5444	3815
588	5452	3804
589	5460	3794
590	5466	3783
591	5473	3772
592	5481	3762
593	5489	3752
594	5497	3742
595	5505	3731
596	5512	3721
597	5522	3712
598	5530	3702
599	5538	3692
600	5545	3681
601	5553	3671
602	5561	3661
603	5569	3651
604	5578	3642
605	5586	3631
606	5596	3623
607	5603	3612
608	5609	3601
609	5616	3591
610	5624	3580
611	5632	3571
612	5640	3560
613	5646	3549
614	5654	3539
615	5662	3529
616	5669	3519
617	5676	3508
618	5682	3497
619	5691	3488
620	5698	3477
621	5705	3467
622	5711	3456
623	5718	3445
624	5724	3434
625	5732	3424
626	5738	3413
627	5746	3403
628	5754	3394
629	5761	3383
630	5768	3373
631	5776	3363
632	5784	3353
633	5794	3345
634	5802	3335
635	5809	3324
636	5817	3314
637	5824	3304
638	5831	3294
639	5838	3284
640	5848	3275
641	5854	3264
642	5861	3254
643	5868	3244
644	5878	3235
645	5886	3225
646	5893	3215
647	5900	3205
648	5906	3194
649	5914	3184
650	5921	3174
651	5931	3165
652	5938	3155
653	5945	3145
654	5952	3135
655	5958	3124
656	5966	3114
657	5972	3104
658	5980	3094
659	5987	3084
660	5994	3074
661	6002	3064
662	6010	3055
663	6026	3049
664	6039	3042
665	6047	3033
666	6055	3022
667	6062	3013
668	6069	3002
669	6077	2993
670	6084	2983
671	6091	2972
672	6097	2962
673	6105	2953
674	6115	2944
675	6123	2935
676	6135	2927
677	6148	2919
678	6158	2911
679	6166	2901
680	6177	2893
681	6188	2885
682	6200	2877
683	6209	2868
684	6220	2860
685	6229	2851
686	6240	2842
687	6248	2833
688	6256	2824
689	6264	2814
690	6274	2805
691	6286	2797
692	6298	2790
693	6308	2781
694	6321	2774
695	6330	2765
696	6339	2756
697	6348	2746
698	6358	2738
699	6368	2729
700	6380	2721
701	6389	2712
702	6401	2704
703	6411	2695
704	6420	2686
705	6434	2679
706	6450	2673
707	6464	2666
708	6476	2658
709	6485	2649
710	6497	2641
711	6514	2634
712	6532	2629
713	6548	2623
714	6557	2613
715	6571	2606
716	6580	2597
717	6592	2589
718	6601	2580
719	6613	2571
720	6626	2564
721	6637	2555
722	6647	2546
723	6664	2540
724	6681	2534
725	6692	2525
726	6714	2521
727	6731	2515
728	6776	2519
729	6798	2514
730	6814	2507
731	6827	2499
732	6837	2490
733	6847	2481
734	6857	2472
735	6865	2462
736	6873	2452
737	6881	2442
738	6890	2433
739	6901	2424
740	6919	2418
741	6931	2410
742	6945	2402
743	6960	2394
744	6969	2385
745	6987	2378
746	7006	2372
747	7031	2368
748	7048	2362
749	7061	2353
750	7072	2344
751	7086	2336
752	7098	2328
753	7109	2319
754	7119	2310
755	7129	2300
756	7143	2293
757	7159	2285
758	7173	2277
759	7186	2269
760	7214	2265
761	7227	2257
762	7238	2248
763	7249	2239
764	7262	2231
765	7274	2222
766	7282	2212
767	7296	2204
768	7304	2194
769	7313	2184
770	7322	2174
771	7333	2165
772	7345	2157
773	7353	2147
774	7361	2137
775	7367	2126
776	7375	2116
777	7382	2106
778	7390	2096
779	7396	2086
780	7403	2076
781	7409	2065
782	7415	2055
783	7421	2044
784	7428	2034
785	7435	2024
786	7441	2013
787	7449	2004
788	7463	1995
789	7470	1985
790	7477	1975
791	7484	1965
792	7491	1955
793	7498	1945
794	7505	1935
795	7512	1925
796	7523	1916
797	7530	1906
798	7539	1896
799	7548	1887
800	7556	1877
801	7563	1867
802	7572	1857
803	7580	1847
804	7588	1838
805	7595	1828
806	7603	1818
807	7612	1808
808	7635	1802
809	7646	1793
810	7656	1784
811	7673	1776
812	7697	1770
813	7720	1764
814	7736	1756
815	7747	1747
816	7758	1737
817	7771	1729
818	7780	1719
819	7788	1709
820	7797	1700
821	7809	1691
822	7816	1681
823	7824	1671
824	7830	1661
825	7838	1651
826	7844	1640
827	7850	1630
828	7857	1620
829	7863	1610
830	7869	1600
831	7876	1590
832	7883	1580
833	7889	1570
834	7896	1560
835	7902	1550
836	7908	1540
837	7915	1530
838	7922	1520
839	7930	1510
840	7938	1500
841	7946	1491
842	7955	1481
843	7979	1474
844	7992	1466
845	8014	1458
846	8024	1449
847	8034	1440
848	8042	1430
849	8051	1420
850	8060	1411
851	8069	1401
852	8078	1392
853	8090	1383
854	8102	1374
855	8116	1365
856	8132	1356
857	8142	1347
858	8151	1338
859	8159	1328
860	8167	1318
861	8174	1308
862	8180	1298
863	8187	1288
864	8193	1278
865	8200	1268
866	8207	1259
867	8214	1249
868	8226	1240
869	8233	1230
870	8241	1220
871	8249	1210
872	8256	1201
873	8267	1191
874	8275	1182
875	8283	1172
876	8289	1162
877	8296	1152
878	8303	1142
879	8309	1133
880	8316	1123
881	8323	1113
882	8330	1103
883	8336	1093
884	8343	1084
885	8352	1074
886	8365	1065
887	8373	1056
888	8380	1046
889	8388	1036
890	8394	1026
891	8402	1017
892	8408	1007
893	8416	997
894	8422	988
895	8429	978
896	8435	968
897	8444	959
898	8455	949
899	8464	940
900	8471	930
901	8486	922
902	8502	913
903	8511	903
904	8522	894
905	8530	885
906	8541	875
907	8551	866
908	8560	856
909	8568	847
910	8576	837
911	8584	828
912	8590	818
913	8599	809
914	8607	799
915	8615	790
916	8623	780
917	8636	771
918	8648	762
919	8662	753
920	8694	745
921	8758	740
922	8776	732
923	8799	723
924	8813	714
925	8827	705
926	8842	696
927	8852	686
928	8865	677
929	8873	667
930	8884	658
931	8893	648
932	8900	639
933	8908	629
934	8915	619
935	8922	610
936	8929	600
937	8937	590
938	8946	581
939	8953	571
940	8962	561
941	8969	552
942	8997	543
943	9015	534
944	9024	525
945	9032	515
946	9042	506
947	9051	496
948	9060	486
949	9069	477
950	9077	467
951	9086	458
952	9094	448
953	9105	439
954	9114	429
955	9122	419
956	9131	410
957	9139	400
958	9147	391
959	9157	381
960	9166	372
961	9176	362
962	9192	353
963	9203	343
964	9212	334
965	9239	325
966	9260	316
967	9277	306
968	9289	297
969	9305	287
970	9317	278
971	9332	268
972	9345	259
973	9356	249
974	9365	240
975	9374	230
976	9384	220
977	9394	211
978	9403	201
979	9412	192
980	9425	182
981	9437	172
982	9448	163
983	9457	153
984	9470	144
985	9482	134
986	9495	125
987	9512	115
988	9520	105
989	9530	96
990	9538	86
991	9547	76
992	9556	67
993	9564	57
994	9572	48
995	9581	38
996	9590	28
997	9598	19
998	9607	9
999	9616	0
